,명사,중복횟수,총조회수,총추천수
13446,호박고구마,1,28175.0,42.0
13447,밤파,1,28175.0,42.0
31164,고량,1,28174.0,322.0
32050,성미산,1,28170.0,851.0
22535,호호,1,28170.0,550.0
22536,호홋,1,28170.0,550.0
39506,퐈때,1,28169.0,361.0
28270,해킹대회,1,28166.0,311.0
24273,헤결,2,28162.0,104.0
29054,빡머가리임,1,28162.0,200.0
37532,거덜날,1,28158.0,151.0
8132,특허청,1,28157.0,289.0
22485,근레발,1,28156.0,803.0
40183,레지스탕스,1,28155.0,288.0
41675,일미,1,28153.0,186.0
39827,사쓰마번,1,28150.0,231.0
41398,중경상,1,28149.0,162.0
26163,직립보행,1,28149.0,450.0
24265,제때,1,28140.0,338.0
24266,홍시,1,28140.0,338.0
29616,카페리,1,28133.0,211.0
12705,도스툼,1,28131.0,132.0
37883,김경자,1,28126.0,322.0
17422,금년,2,28124.0,197.0
39495,유가령,1,28123.0,172.0
40865,투견,1,28123.0,140.0
41308,정실,1,28122.0,246.0
38239,브론테,3,28122.0,208.0
27800,군중,1,28117.0,205.0
27767,횡단하,1,28117.0,295.0
38702,김제시,1,28114.0,125.0
38057,질식,1,28113.0,369.0
41174,하바나,1,28110.0,84.0
38494,맞디스,1,28107.0,136.0
13909,은재,1,28105.0,461.0
36234,땜빵용,1,28103.0,327.0
34226,머크,1,28099.0,47.0
29331,차밑,1,28094.0,256.0
19205,팻핑거,1,28091.0,223.0
23734,슬릭,2,28086.0,213.0
35366,카이바,1,28086.0,303.0
37178,후세인,1,28081.0,307.0
31731,모짜르트,1,28080.0,274.0
36115,치비,1,28078.0,380.0
38055,북극성,2,28075.0,242.0
32146,안통함,1,28073.0,186.0
30843,전남도청,1,28069.0,837.0
30844,사무관리,1,28069.0,837.0
26010,바앤,5,28068.0,84.0
36113,싱긃어글,1,28065.0,229.0
36831,백병원,1,28064.0,124.0
36430,폐활량,1,28064.0,95.0
7376,외줄,1,28061.0,177.0
27200,쵸콜레트,1,28060.0,173.0
27201,설기,1,28060.0,173.0
28330,크로아티아전,1,28059.0,836.0
28774,스노우체인,1,28058.0,175.0
27301,섀도,2,28058.0,334.0
39489,텅텅빈,1,28056.0,144.0
14975,낙베,1,28053.0,872.0
31829,슬붕,1,28051.0,408.0
32531,사사건건,1,28051.0,586.0
36141,징병검사,1,28050.0,273.0
41900,상위호환,1,28047.0,76.0
19313,진회,1,28043.0,363.0
39713,자갈치시장,1,28040.0,121.0
22665,뭉갰던,1,28039.0,657.0
41237,표상,1,28034.0,128.0
23793,딪랜,2,28026.0,85.0
25680,아리아,3,28025.0,89.0
29219,김나희,1,28022.0,63.0
31544,귀하,1,28019.0,243.0
27213,베니,3,28013.0,98.0
11466,건창,1,28007.0,292.0
34430,가업,1,28007.0,216.0
41184,칸영화제,1,28004.0,45.0
32767,탄약고,1,28001.0,223.0
20104,총리실,1,27992.0,563.0
18520,별다방,1,27991.0,95.0
18521,럭키백,1,27991.0,95.0
18519,동장군,1,27991.0,95.0
28399,조달청,2,27988.0,442.0
41855,배민빵,1,27987.0,255.0
29911,시문,1,27986.0,357.0
38075,편백나무,1,27985.0,188.0
16672,녘,1,27983.0,219.0
27074,탄탄,3,27983.0,90.0
12108,이종욱,1,27983.0,712.0
41961,파루루,1,27980.0,89.0
41960,빈뇨,1,27980.0,89.0
32674,말아톤,1,27980.0,352.0
26967,다집,1,27979.0,201.0
35338,김영준,1,27977.0,265.0
18697,찢취록,1,27974.0,564.0
38633,남전,1,27963.0,96.0
25355,예수회,1,27959.0,328.0
39383,광구,1,27958.0,150.0
25171,하레,3,27954.0,299.0
40608,정일,1,27947.0,196.0
28886,렉햄,1,27944.0,221.0
3797,가신,1,27944.0,285.0
36355,킵초게,1,27942.0,343.0
6057,옵빠,1,27933.0,160.0
38974,귀견,1,27925.0,135.0
38975,코몬도르,1,27925.0,135.0
35668,사실관계,1,27923.0,654.0
28847,햄스워스,1,27923.0,133.0
30610,브마갤,1,27922.0,274.0
38842,김동아,2,27921.0,562.0
29466,박윤배,1,27919.0,90.0
41475,유령선,1,27917.0,207.0
31291,이재현,2,27910.0,779.0
36842,일월,2,27907.0,223.0
15493,비벌리힐즈,1,27906.0,120.0
40523,칩입,1,27905.0,84.0
31861,해디,1,27903.0,139.0
17200,액션씬,1,27900.0,133.0
37091,퍼다,1,27897.0,692.0
39548,캔돈,1,27889.0,134.0
39547,인싸싱붕이들,1,27889.0,134.0
18698,분필,1,27883.0,169.0
23205,미겔,1,27882.0,224.0
23206,미론,1,27882.0,224.0
27406,무질서,2,27877.0,205.0
8658,김수진,1,27876.0,113.0
31298,레퍼,1,27870.0,417.0
41834,프제,1,27866.0,196.0
33047,태깡,1,27863.0,36.0
3543,안지은,1,27858.0,44.0
39410,아서왕,1,27855.0,109.0
18638,스톱모션,2,27850.0,240.0
9836,추찬,1,27849.0,252.0
26248,법좀,1,27845.0,525.0
35177,쮸압쮸압,1,27842.0,214.0
19426,동쿠,1,27839.0,389.0
41443,라듐,1,27832.0,170.0
33912,이시연,1,27831.0,149.0
39594,숏폼타,1,27831.0,43.0
30355,앨범아트,1,27829.0,302.0
34047,슈프림,1,27823.0,97.0
11647,휴우가,1,27822.0,126.0
35633,예물,1,27822.0,157.0
33308,개중,1,27821.0,359.0
34512,본교,1,27819.0,290.0
34513,연고전,1,27819.0,290.0
35057,축하공연,1,27817.0,309.0
20796,김일성대,1,27815.0,348.0
41122,아청,1,27814.0,175.0
41123,수상스키,1,27814.0,175.0
32724,장애등급,1,27812.0,430.0
37115,홀랜,1,27811.0,145.0
33087,지제역,1,27803.0,266.0
29345,카사블랑카,1,27803.0,140.0
38021,윤진,1,27800.0,292.0
38022,이범수,1,27800.0,292.0
22798,프시,2,27799.0,181.0
25442,하얼빈,2,27795.0,172.0
29927,회전교차로,1,27795.0,409.0
37164,영원불멸,1,27795.0,111.0
36093,맥스웰,1,27794.0,310.0
39579,세율,1,27793.0,368.0
22761,기다렷,1,27790.0,130.0
28116,회서,1,27789.0,1145.0
38169,포뇨,1,27788.0,111.0
16948,롱아,1,27785.0,322.0
31878,윾식,1,27780.0,608.0
41730,발레,1,27775.0,73.0
37268,토요미스테리극장,2,27771.0,123.0
36449,게이오,1,27771.0,98.0
37768,홍채,1,27767.0,70.0
12154,소싱,1,27758.0,89.0
4266,탄지,1,27756.0,350.0
2314,윌리엄스,3,27755.0,253.0
36853,과실치사죄,1,27754.0,184.0
37509,방검복,1,27753.0,432.0
30736,남경두,1,27748.0,325.0
37462,최원준,1,27744.0,151.0
40983,큐싱,1,27744.0,84.0
28138,히로시,1,27741.0,720.0
27388,서밋,3,27739.0,89.0
24490,아유미,1,27739.0,152.0
38516,함달,1,27734.0,319.0
24650,하인,2,27732.0,93.0
28988,볼링,2,27731.0,88.0
41914,수원교구,1,27731.0,196.0
28520,신성우,1,27729.0,51.0
31988,꽁,1,27729.0,417.0
30262,쌍화탕,1,27728.0,280.0
25280,해군력,1,27726.0,194.0
8696,홍백,1,27721.0,110.0
29572,동병상련,1,27721.0,115.0
8695,영점프,1,27721.0,110.0
41766,크류,1,27719.0,123.0
34337,통학생,1,27717.0,229.0
23461,인혁당,1,27716.0,952.0
26005,허구성,1,27716.0,320.0
40457,가나다순,1,27716.0,100.0
36623,옥키남,1,27710.0,172.0
38165,배산,1,27709.0,136.0
40475,경제성장,1,27708.0,821.0
27572,정처,1,27702.0,228.0
40890,알링턴,1,27702.0,262.0
29001,시청소감,1,27701.0,490.0
29000,환혼,1,27701.0,490.0
26284,괴짜,2,27699.0,275.0
16559,윤빠들,1,27698.0,604.0
33294,인민공화국,1,27697.0,87.0
40609,대표자,1,27695.0,190.0
21085,겆북,1,27695.0,255.0
33971,오사카시,2,27694.0,342.0
18965,다과상,2,27684.0,256.0
24852,사오리,2,27683.0,210.0
28731,응딩이,1,27680.0,67.0
35652,사금융,2,27669.0,329.0
35932,초고추장,1,27669.0,234.0
38678,일부다처제,1,27666.0,211.0
15814,사교,1,27665.0,311.0
22014,오어,4,27665.0,259.0
39042,명말,1,27661.0,88.0
31965,싱붕토깽,1,27660.0,321.0
40059,마오타이주,1,27649.0,280.0
37829,쪼아,1,27642.0,120.0
27531,해밀톤,2,27641.0,348.0
25732,짱켓몬,1,27637.0,407.0
25438,특강,2,27636.0,322.0
41041,우지직,1,27629.0,137.0
31564,영심,1,27629.0,36.0
18887,약도,1,27625.0,260.0
40045,츄꾸미,1,27623.0,50.0
40423,임애,1,27619.0,82.0
11126,밤바리,1,27617.0,144.0
30314,버프받,1,27613.0,70.0
14755,디레지,1,27606.0,178.0
29492,몬스터즈,2,27606.0,343.0
4948,남태평양,1,27604.0,65.0
34721,신주영,1,27601.0,60.0
34784,접년,2,27601.0,546.0
40737,규진,1,27600.0,105.0
27823,이기주,1,27595.0,922.0
38998,브라우저,1,27592.0,369.0
33610,바네사,1,27588.0,234.0
19034,윤동,1,27586.0,346.0
36539,알제,1,27583.0,225.0
33632,노벨라,1,27580.0,116.0
